Year,Age Group,Participation Rate
2010,15-24,69
2011,15-24,68
2012,15-24,67.3
2013,15-24,67.2
2014,15-24,66.4
2015,15-24,67.3
2016,15-24,67.1
2017,15-24,66.7
2018,15-24,68.3
2019,15-24,68.5
2020,15-24,62.6
2021,15-24,69.3
2010,25-34,82.1
2011,25-34,82.7
2012,25-34,82.1
2013,25-34,82.9
2014,25-34,82.4
2015,25-34,83.5
2016,25-34,82.9
2017,25-34,83.3
2018,25-34,84.8
2019,25-34,84.7
2020,25-34,82.8
2021,25-34,85.9
2010,35-44,82.3
2011,35-44,83.4
2012,35-44,83.2
2013,35-44,83.6
2014,35-44,83
2015,35-44,83.3
2016,35-44,84.1
2017,35-44,85.4
2018,35-44,85.3
2019,35-44,85.6
2020,35-44,84.4
2021,35-44,86.5
2010,45-54,83
2011,45-54,83.1
2012,45-54,82.9
2013,45-54,82.7
2014,45-54,83.2
2015,45-54,83.1
2016,45-54,83.3
2017,45-54,83.3
2018,45-54,84
2019,45-54,84.9
2020,45-54,83.4
2021,45-54,84.5
2010,55-64,62.6
2011,55-64,63.2
2012,55-64,63.8
2013,55-64,64.7
2014,55-64,64
2015,55-64,64.7
2016,55-64,65.6
2017,55-64,66
2018,55-64,65.8
2019,55-64,67
2020,55-64,65.5
2021,55-64,67.9
2010,65+,10.6
2011,65+,11
2012,65+,11.9
2013,65+,12.1
2014,65+,12.7
2015,65+,11.9
2016,65+,12.7
2017,65+,12.6
2018,65+,13.9
2019,65+,14.4
2020,65+,13.3
2021,65+,14.8
